IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
3,Niedersachsen,SK Braunschweig,A60-A79,W,3,0,487440,2020-03-28,03101,2020-03-30,1,-9
3,Niedersachsen,SK Braunschweig,A80+,M,1,0,487441,2020-03-23,03101,2020-03-30,0,-9
3,Niedersachsen,SK Braunschweig,A80+,M,1,0,487442,2020-03-28,03101,2020-03-30,1,-9
3,Niedersachsen,SK Braunschweig,A80+,W,1,0,487443,2020-03-19,03101,2020-03-30,0,-9
3,Niedersachsen,SK Braunschweig,A80+,W,1,0,487444,2020-03-26,03101,2020-03-30,0,-9
3,Niedersachsen,SK Braunschweig,A80+,W,1,0,487445,2020-03-28,03101,2020-03-30,1,-9
3,Niedersachsen,SK Salzgitter,A15-A34,M,1,0,487446,2020-03-26,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A15-A34,M,1,0,487447,2020-03-27,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A15-A34,W,1,0,487448,2020-03-25,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,M,1,0,487449,2020-03-21,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,M,1,0,487450,2020-03-24,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,M,2,0,487451,2020-03-26,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,M,1,0,487452,2020-03-27,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,W,1,0,487453,2020-03-11,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,W,1,0,487454,2020-03-13,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,W,2,0,487455,2020-03-17,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,W,2,0,487456,2020-03-19,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,W,1,0,487457,2020-03-20,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,W,1,0,487458,2020-03-21,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,W,1,0,487459,2020-03-22,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,W,2,0,487460,2020-03-23,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,W,1,0,487461,2020-03-24,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A35-A59,W,1,0,487462,2020-03-26,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A60-A79,M,1,0,487463,2020-03-18,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A60-A79,M,3,0,487464,2020-03-20,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A60-A79,M,3,0,487465,2020-03-21,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A60-A79,M,1,0,487466,2020-03-24,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A60-A79,M,3,0,487467,2020-03-26,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A60-A79,M,1,0,487468,2020-03-27,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A60-A79,W,2,0,487469,2020-03-18,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A60-A79,W,4,0,487470,2020-03-20,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A60-A79,W,1,0,487471,2020-03-21,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A60-A79,W,1,0,487472,2020-03-24,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A60-A79,W,2,0,487473,2020-03-25,03102,2020-03-30,0,-9
3,Niedersachsen,SK Salzgitter,A80+,W,1,1,487474,2020-03-26,03102,2020-03-30,0,0
3,Niedersachsen,SK Wolfsburg,A15-A34,M,1,0,487475,2020-03-19,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,M,1,0,487476,2020-03-21,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,M,2,0,487477,2020-03-22,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,M,1,0,487478,2020-03-23,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,M,1,0,487479,2020-03-24,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,M,1,0,487480,2020-03-25,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,M,2,0,487481,2020-03-27,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,W,1,0,487482,2020-03-13,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,W,1,0,487483,2020-03-24,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,W,1,0,487484,2020-03-25,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,W,1,0,487485,2020-03-26,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,W,1,0,487486,2020-03-27,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A15-A34,W,2,0,487487,2020-03-28,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,M,1,0,487488,2020-03-17,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,M,1,0,487489,2020-03-18,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,M,1,0,487490,2020-03-21,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,M,1,0,487491,2020-03-22,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,M,1,0,487492,2020-03-24,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,M,2,0,487493,2020-03-25,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,M,1,0,487494,2020-03-26,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,M,6,0,487495,2020-03-28,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,W,1,0,487496,2020-03-19,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,W,1,0,487497,2020-03-20,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,W,3,0,487498,2020-03-22,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,W,1,0,487499,2020-03-24,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,W,2,0,487500,2020-03-25,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,W,2,0,487501,2020-03-26,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,W,1,0,487502,2020-03-27,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A35-A59,W,6,0,487503,2020-03-28,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,M,1,0,487504,2020-03-13,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,M,2,0,487505,2020-03-20,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,M,1,0,487506,2020-03-21,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,M,1,0,487507,2020-03-22,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,M,1,0,487508,2020-03-25,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,M,1,0,487509,2020-03-26,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,M,4,0,487510,2020-03-27,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,M,7,0,487511,2020-03-27,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,M,3,0,487512,2020-03-28,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,1,487513,2020-03-18,03103,2020-03-30,0,0
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,0,487514,2020-03-20,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,0,487515,2020-03-22,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,0,487516,2020-03-24,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,2,0,487517,2020-03-25,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,0,487518,2020-03-26,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,7,0,487519,2020-03-27,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,1,1,487520,2020-03-27,03103,2020-03-30,0,0
3,Niedersachsen,SK Wolfsburg,A60-A79,W,3,0,487521,2020-03-27,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A60-A79,W,4,0,487522,2020-03-28,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A80+,M,2,2,487523,2020-03-18,03103,2020-03-30,0,1
3,Niedersachsen,SK Wolfsburg,A80+,M,1,1,487524,2020-03-21,03103,2020-03-30,0,1
3,Niedersachsen,SK Wolfsburg,A80+,M,1,0,487525,2020-03-25,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A80+,M,1,1,487526,2020-03-25,03103,2020-03-30,0,0
3,Niedersachsen,SK Wolfsburg,A80+,M,4,0,487527,2020-03-27,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A80+,M,1,1,487528,2020-03-27,03103,2020-03-30,0,0
3,Niedersachsen,SK Wolfsburg,A80+,M,1,1,487529,2020-03-27,03103,2020-03-30,1,1
3,Niedersachsen,SK Wolfsburg,A80+,M,6,0,487530,2020-03-27,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A80+,M,1,0,487531,2020-03-28,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A80+,M,1,1,487532,2020-03-28,03103,2020-03-30,1,1
3,Niedersachsen,SK Wolfsburg,A80+,W,1,0,487533,2020-03-13,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A80+,W,1,1,487534,2020-03-20,03103,2020-03-30,0,1
3,Niedersachsen,SK Wolfsburg,A80+,W,1,1,487535,2020-03-23,03103,2020-03-30,0,0
3,Niedersachsen,SK Wolfsburg,A80+,W,2,2,487536,2020-03-25,03103,2020-03-30,0,0
3,Niedersachsen,SK Wolfsburg,A80+,W,2,2,487537,2020-03-27,03103,2020-03-30,0,0
3,Niedersachsen,SK Wolfsburg,A80+,W,12,0,487538,2020-03-27,03103,2020-03-30,0,-9
3,Niedersachsen,SK Wolfsburg,A80+,W,10,0,487539,2020-03-27,03103,2020-03-30,1,-9
3,Niedersachsen,SK Wolfsburg,A80+,W,4,0,487540,2020-03-28,03103,2020-03-30,1,-9
3,Niedersachsen,LK Gifhorn,A00-A04,M,1,0,487541,2020-03-26,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A05-A14,W,3,0,487542,2020-03-17,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A15-A34,M,1,0,487543,2020-03-13,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A15-A34,M,1,0,487544,2020-03-16,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A15-A34,M,1,0,487545,2020-03-17,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A15-A34,M,1,0,487546,2020-03-25,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A15-A34,M,1,0,487547,2020-03-28,03151,2020-03-30,1,-9
3,Niedersachsen,LK Gifhorn,A15-A34,W,1,0,487548,2020-03-13,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A15-A34,W,2,0,487549,2020-03-16,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A15-A34,W,2,0,487550,2020-03-19,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A15-A34,W,1,0,487551,2020-03-25,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A15-A34,W,2,0,487552,2020-03-28,03151,2020-03-30,1,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,1,0,487553,2020-03-11,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,1,0,487554,2020-03-12,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,2,0,487555,2020-03-16,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,1,0,487556,2020-03-17,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,1,0,487557,2020-03-19,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,1,0,487558,2020-03-21,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,1,0,487559,2020-03-23,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,1,0,487560,2020-03-24,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,1,0,487561,2020-03-25,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,1,0,487562,2020-03-26,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,1,0,487563,2020-03-27,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,M,4,0,487564,2020-03-28,03151,2020-03-30,1,-9
3,Niedersachsen,LK Gifhorn,A35-A59,W,2,0,487565,2020-03-16,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,W,1,0,487566,2020-03-17,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,W,2,0,487567,2020-03-20,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,W,1,0,487568,2020-03-23,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,W,2,0,487569,2020-03-26,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,W,1,0,487570,2020-03-27,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A35-A59,W,1,0,487571,2020-03-28,03151,2020-03-30,1,-9
3,Niedersachsen,LK Gifhorn,A60-A79,M,1,0,487572,2020-03-11,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,M,1,0,487573,2020-03-12,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,M,1,0,487574,2020-03-16,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,M,1,0,487575,2020-03-18,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,M,1,0,487576,2020-03-19,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,M,2,0,487577,2020-03-20,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,M,1,0,487578,2020-03-22,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,M,1,0,487579,2020-03-25,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,M,1,0,487580,2020-03-26,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,W,1,0,487581,2020-03-12,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,W,1,0,487582,2020-03-16,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,W,1,0,487583,2020-03-20,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,W,1,0,487584,2020-03-21,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,W,1,0,487585,2020-03-23,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A60-A79,W,1,0,487586,2020-03-27,03151,2020-03-30,0,-9
3,Niedersachsen,LK Gifhorn,A80+,M,1,0,487587,2020-03-28,03151,2020-03-30,1,-9
3,Niedersachsen,LK Goslar,A15-A34,M,1,0,487588,2020-03-14,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A15-A34,M,1,0,487589,2020-03-19,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A15-A34,W,1,0,487590,2020-03-19,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A15-A34,W,1,0,487591,2020-03-20,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A15-A34,W,1,0,487592,2020-03-21,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A15-A34,W,1,0,487593,2020-03-25,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A15-A34,W,1,0,487594,2020-03-26,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,M,1,0,487595,2020-03-13,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,M,1,0,487596,2020-03-17,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,M,2,0,487597,2020-03-18,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,M,1,0,487598,2020-03-21,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,M,2,0,487599,2020-03-24,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,M,1,0,487600,2020-03-26,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,M,1,0,487601,2020-03-27,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,W,1,0,487602,2020-03-17,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,W,2,0,487603,2020-03-18,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,W,1,0,487604,2020-03-21,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,W,3,0,487605,2020-03-24,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,W,4,0,487606,2020-03-25,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,W,2,0,487607,2020-03-26,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A35-A59,W,3,0,487608,2020-03-27,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,M,2,0,487609,2020-03-13,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,M,1,0,487610,2020-03-18,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,M,1,0,487611,2020-03-23,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,M,1,0,487612,2020-03-24,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,M,1,0,487613,2020-03-25,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,M,1,0,487614,2020-03-26,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,W,2,0,487615,2020-03-13,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,W,1,0,487616,2020-03-14,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,W,1,0,487617,2020-03-20,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,W,2,0,487618,2020-03-24,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,W,2,0,487619,2020-03-26,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A60-A79,W,1,0,487620,2020-03-27,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A80+,M,2,0,487621,2020-03-26,03153,2020-03-30,0,-9
3,Niedersachsen,LK Goslar,A80+,W,1,0,487622,2020-03-27,03153,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A05-A14,W,1,0,487623,2020-03-27,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,487624,2020-03-13,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,4,0,487625,2020-03-18,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,487626,2020-03-20,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,2,0,487627,2020-03-21,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,487628,2020-03-23,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,487629,2020-03-24,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,487630,2020-03-26,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,M,1,0,487631,2020-03-27,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,W,2,0,487632,2020-03-21,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,W,1,0,487633,2020-03-24,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,W,1,0,487634,2020-03-26,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A15-A34,W,2,0,487635,2020-03-28,03154,2020-03-30,1,-9
3,Niedersachsen,LK Helmstedt,A15-A34,W,1,0,487636,2020-03-29,03154,2020-03-30,1,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,1,0,487637,2020-03-13,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,1,0,487638,2020-03-18,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,1,0,487639,2020-03-19,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,1,0,487640,2020-03-20,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,4,0,487641,2020-03-26,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,2,0,487642,2020-03-27,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,M,3,0,487643,2020-03-28,03154,2020-03-30,1,-9
3,Niedersachsen,LK Helmstedt,A35-A59,W,1,0,487644,2020-03-20,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,W,1,0,487645,2020-03-21,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,W,1,0,487646,2020-03-23,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,W,2,0,487647,2020-03-25,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,W,5,0,487648,2020-03-26,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,W,1,0,487649,2020-03-27,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A35-A59,W,1,0,487650,2020-03-28,03154,2020-03-30,1,-9
3,Niedersachsen,LK Helmstedt,A60-A79,M,1,0,487651,2020-03-22,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A60-A79,M,1,0,487652,2020-03-25,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A60-A79,M,1,0,487653,2020-03-27,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A60-A79,W,1,0,487654,2020-03-22,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A60-A79,W,1,0,487655,2020-03-25,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A80+,M,1,0,487656,2020-03-24,03154,2020-03-30,0,-9
3,Niedersachsen,LK Helmstedt,A80+,M,1,0,487657,2020-03-28,03154,2020-03-30,1,-9
3,Niedersachsen,LK Helmstedt,A80+,W,1,0,487658,2020-03-24,03154,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A05-A14,M,1,0,487659,2020-03-26,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A15-A34,M,2,0,487660,2020-03-11,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A15-A34,M,1,0,487661,2020-03-12,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A15-A34,M,1,0,487662,2020-03-19,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A15-A34,W,2,0,487663,2020-03-24,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A35-A59,M,1,0,487664,2020-03-18,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A35-A59,M,1,0,487665,2020-03-19,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A35-A59,M,2,0,487666,2020-03-20,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A35-A59,M,4,0,487667,2020-03-23,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A35-A59,M,1,0,487668,2020-03-24,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A35-A59,W,1,0,487669,2020-03-19,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A35-A59,W,1,0,487670,2020-03-20,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A35-A59,W,1,0,487671,2020-03-24,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A35-A59,W,1,0,487672,2020-03-26,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A35-A59,W,2,0,487673,2020-03-27,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A60-A79,M,1,0,487674,2020-03-17,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A60-A79,M,1,0,487675,2020-03-18,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A60-A79,M,1,0,487676,2020-03-23,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A60-A79,M,1,0,487677,2020-03-27,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A60-A79,W,1,0,487678,2020-03-11,03155,2020-03-30,0,-9
3,Niedersachsen,LK Northeim,A60-A79,W,1,0,487679,2020-03-26,03155,2020-03-30,0,-9
3,Niedersachsen,LK Peine,A05-A14,M,2,0,487680,2020-03-28,03157,2020-03-30,1,-9
3,Niedersachsen,LK Peine,A05-A14,W,1,0,487681,2020-03-17,03157,2020-03-30,0,-9
3,Niedersachsen,LK Peine,A15-A34,M,1,0,487682,2020-03-19,03157,2020-03-30,0,-9
3,Niedersachsen,LK Peine,A15-A34,M,1,0,487683,2020-03-25,03157,2020-03-30,0,-9
3,Niedersachsen,LK Peine,A15-A34,M,1,0,487684,2020-03-27,03157,2020-03-30,0,-9
3,Niedersachsen,LK Peine,A15-A34,M,1,0,487685,2020-03-28,03157,2020-03-30,1,-9
3,Niedersachsen,LK Peine,A15-A34,W,1,0,487686,2020-03-13,03157,2020-03-30,0,-9
3,Niedersachsen,LK Peine,A15-A34,W,1,0,487687,2020-03-21,03157,2020-03-30,0,-9
3,Niedersachsen,LK Peine,A15-A34,W,1,0,487688,2020-03-22,03157,2020-03-30,0,-9
3,Niedersachsen,LK Peine,A15-A34,W,1,0,487689,2020-03-23,03157,2020-03-30,0,-9
